"SSAD_biogas_production_raw_pkey","reactor","innoculation_date","sample_date","day","biogas_yield_ml","methane_pct","prairie_biomass_beef_manure_ratio","total_solids_pct","pH","NH3_sample_1","NH3_sample_2"
637,61,2023-09-28,2023-10-18,20,92,9.2,"Raw Manure","12%",NA,NA,NA
638,61,2023-09-28,2023-10-21,23,48,19.3,"Raw Manure","12%",NA,NA,NA
639,61,2023-09-28,2023-10-24,26,107,14,"Raw Manure","12%",NA,NA,NA
640,61,2023-09-28,2023-10-27,29,88,2,"Raw Manure","12%",NA,NA,NA
641,61,2023-09-28,2023-10-30,32,49,10,"Raw Manure","12%",NA,NA,NA
642,61,2023-09-28,2023-11-03,36,92,6.7,"Raw Manure","12%",NA,NA,NA
643,62,2023-09-28,2023-09-30,2,1305,7.5,"Raw Manure","12%",NA,NA,NA
644,62,2023-09-28,2023-10-03,5,275,41.2,"Raw Manure","12%",NA,NA,NA
645,62,2023-09-28,2023-10-06,8,52,29.8,"Raw Manure","12%",NA,NA,NA
646,62,2023-09-28,2023-10-09,11,47,38.6,"Raw Manure","12%",NA,NA,NA
647,62,2023-09-28,2023-10-12,14,44,59.8,"Raw Manure","12%",NA,NA,NA
648,62,2023-09-28,2023-10-16,18,61,13.44,"Raw Manure","12%",NA,NA,NA
649,62,2023-09-28,2023-10-18,20,532,40,"Raw Manure","12%",NA,NA,NA
650,62,2023-09-28,2023-10-21,23,270,32.4,"Raw Manure","12%",NA,NA,NA
651,62,2023-09-28,2023-10-24,26,83,34.3,"Raw Manure","12%",NA,NA,NA
652,62,2023-09-28,2023-10-27,29,45,72.3,"Raw Manure","12%",NA,NA,NA
653,62,2023-09-28,2023-10-30,32,42,62.6,"Raw Manure","12%",NA,NA,NA
654,62,2023-09-28,2023-11-03,36,45,50.9,"Raw Manure","12%",NA,NA,NA
655,63,2023-09-28,2023-09-30,2,710,8.3,"Raw Manure","12%",NA,NA,NA
656,63,2023-09-28,2023-10-03,5,37,13.1,"Raw Manure","12%",NA,NA,NA
657,63,2023-09-28,2023-10-06,8,20,2.9,"Raw Manure","12%",NA,NA,NA
658,63,2023-09-28,2023-10-09,11,37,24.9,"Raw Manure","12%",NA,NA,NA
659,63,2023-09-28,2023-10-12,14,23,28,"Raw Manure","12%",NA,NA,NA
660,63,2023-09-28,2023-10-16,18,112,36,"Raw Manure","12%",NA,NA,NA
661,63,2023-09-28,2023-10-18,20,26,12.8,"Raw Manure","12%",NA,NA,NA
662,63,2023-09-28,2023-10-21,23,NA,NA,"Raw Manure","12%",NA,NA,NA
663,63,2023-09-28,2023-10-24,26,NA,NA,"Raw Manure","12%",NA,NA,NA
664,63,2023-09-28,2023-10-27,29,20,86.5,"Raw Manure","12%",NA,NA,NA
665,63,2023-09-28,2023-10-30,32,32,64.9,"Raw Manure","12%",NA,NA,NA
666,63,2023-09-28,2023-11-03,36,25,79.4,"Raw Manure","12%",NA,NA,NA
