"dataset_SSAD_biogas_production_pkey","total_solids_pct","prairie_biomass_beef_manure_ratio","day","biogas_ml_trial_1","biogas_ml_trial_2","biogas_ml_trial_3","biogas_ml_average","methane_pct_trial_1","methane_pct_trial_2","methane_pct_trial_3","methane_pct_average","daily_methane_mean_ml","cumulative_methane_mean_ml","daily_methane_pct","cumulative_biogas_mean_ml"
88,"15","5:1",18,3.78947368421053,6,NA,4.89473684210526,52.9,42.1,NA,47.5,2.325,40.1863887218045,NA,119.719360902256
89,"15","5:1",19,3.78947368421053,6,NA,4.89473684210526,52.9,42.1,NA,47.5,2.325,42.5113887218045,NA,124.614097744361
90,"15","5:1",20,3.78947368421053,6,NA,4.89473684210526,52.9,55.3,NA,54.1,2.325,44.8363887218045,NA,129.508834586466
91,"15","5:1",21,3.78947368421053,5,NA,4.39473684210526,52.9,55.3,NA,54.1,2.37755263157895,47.2139413533835,54.1,133.903571428571
92,"15","5:1",22,3.78947368421053,5,NA,4.39473684210526,54.5,55.3,NA,54.9,2.37755263157895,49.5914939849624,NA,138.298308270677
93,"15","5:1",23,11.6666666666667,5,NA,8.33333333333333,54.5,55.3,NA,54.9,4.575,54.1664939849624,54.9,146.63164160401
94,"15","5:1",24,11.67,5,NA,8.335,54.5,55.3,NA,54.9,4.575915,58.7424089849624,NA,154.96664160401
95,"15","5:1",25,11.67,5,NA,8.335,54.5,55.3,NA,54.9,4.575915,63.3183239849624,NA,163.30164160401
96,"15","5:1",26,17,8,NA,12.5,54.5,55.3,NA,54.9,6.8625,70.1808239849624,NA,175.80164160401
97,"15","5:1",27,17,8,NA,12.5,16.2,55.3,NA,35.75,6.8625,77.0433239849624,NA,188.30164160401
98,"15","5:1",28,43.5,8,NA,25.75,16.2,14.2,NA,15.2,9.205625,86.2489489849624,35.75,214.05164160401
99,"15","5:1",29,43.6,17,NA,30.3,11.8,14.3,NA,13.05,4.6056,90.8545489849624,15.2,244.35164160401
100,"15","5:1",30,12.5,17,NA,14.75,11.8,14.2,NA,13,1.924875,92.7794239849624,13.05,259.10164160401
101,"15","5:1",31,12.5,17,NA,14.75,11.8,7.8,NA,9.8,1.9175,94.6969239849624,13,273.85164160401
102,"15","5:1",32,12.5,8.33333333333333,NA,10.4166666666667,11.8,7.8,NA,9.8,1.02083333333333,95.7177573182958,9.8,284.268308270677
